% Content: Stimuli for testbench multtb1.vhd
%
%
%RstxRB
%  StartCalcxS
%  | InputAxD
%  | |    InputBxD
%  | |    |
%  | |    |       Comments:
%  | |    |        
%  | |    |       State of the FSM (in shiftaddmult.vhd)
%  | |    |       | 
0  0 XXXX XXXX -- idle
1  1 XXXX XXXX -- idle
1  0 1010 1100 -- newData
1  0 XXXX XXXX -- calculate   
1  0 XXXX XXXX -- calculate  
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  1 XXXX XXXX -- idle
1  0 1011 1110 -- newData
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  1 XXXX XXXX -- idle
1  0 0111 1101 -- newData
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  1 XXXX XXXX -- idle
1  0 1110 1110 -- newData
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
1  0 XXXX XXXX -- calculate
